"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.264579827E0,-4.265325367E-1,3.810100555E-1,3.774765730E-1
7.294572459E0,-4.535846710E-1,3.458232880E-1,2.754273713E-1
7.324565191E0,-2.769890428E-1,1.047601700E-1,8.348551393E-2
7.354557856E0,-6.324553490E-2,-5.454635620E-2,-2.964395657E-2
7.384550488E0,1.640223563E-1,-3.012418747E-1,-4.595175385E-2
7.414543220E0,2.655207515E-1,-4.271411896E-1,9.577289224E-2
7.444535885E0,1.923879981E-1,-3.888778687E-1,2.593564689E-1
7.474528550E0,5.298751593E-2,-3.105840683E-1,3.355442882E-1
7.504521248E0,-1.456788480E-1,-1.867675781E-1,2.802528441E-1
7.534513913E0,-1.372599155E-1,-1.697177887E-1,1.282499582E-1
7.564506578E0,-2.938285470E-3,-2.406320572E-1,-1.514291763E-2
7.594499276E0,2.289453894E-1,-3.406648636E-1,-9.465207160E-2
7.624491908E0,4.031085670E-1,-3.910741806E-1,-6.482128799E-2
7.654484573E0,4.732660651E-1,-3.456916809E-1,5.298639834E-2
7.684477238E0,3.850074112E-1,-1.921768188E-1,1.742087305E-1
7.714469870E0,1.801142097E-1,1.882266998E-2,1.862110645E-1
7.744462568E0,4.270699620E-2,1.455869675E-1,1.541641504E-1
7.774455267E0,-5.736307800E-2,2.266235352E-1,1.165646315E-2
7.804447965E0,2.584120631E-2,1.952342987E-1,-1.398476660E-1
7.834440663E0,1.783583164E-1,9.218120575E-2,-2.403366268E-1
7.864433328E0,3.497483134E-1,-3.497123718E-3,-1.608341336E-1
7.894426026E0,3.809349835E-1,-6.057262421E-2,-6.618314981E-2
7.924418724E0,3.108184934E-1,-5.304145813E-2,6.140278652E-2
7.954411389E0,1.501632333E-1,-6.933212280E-4,1.202483624E-1
7.984404054E0,-7.217733562E-2,7.466793060E-2,1.433420181E-1
8.014396752E0,-2.123456299E-1,9.231281281E-2,4.279065505E-2
8.044389384E0,-2.245063931E-1,3.429222107E-2,-7.837416232E-2
8.074382016E0,-6.420293450E-2,-1.423292160E-1,-1.423217356E-1
8.104374681E0,4.284420609E-2,-2.466964722E-1,-1.444189250E-1
8.134367313E0,1.660211086E-1,-3.778944016E-1,-1.202215441E-3
8.164360011E0,1.081956774E-1,-3.713569641E-1,1.153602153E-1
8.194352709E0,-1.727700233E-3,-3.135013580E-1,1.921965033E-1
8.224345341E0,-2.558534741E-1,-1.463422775E-1,1.863231510E-1
8.254338039E0,-3.580179811E-1,-5.047893524E-2,1.069372594E-1
8.284330737E0,-3.664090931E-1,-1.022720337E-2,-8.746348321E-3
8.314323369E0,-2.503534555E-1,-8.299350739E-2,-9.339637309E-2
8.344316067E0,-1.154842675E-1,-1.263723373E-1,-7.501791418E-2
8.374308765E0,3.149572015E-2,-1.754684448E-1,2.471241355E-2
8.404301397E0,4.461580515E-2,-1.613893509E-1,1.036814004E-1
8.434294129E0,-6.066745520E-2,-6.714820862E-2,1.999777257E-1
8.464286827E0,-2.275947779E-1,7.451534271E-2,1.776502430E-1
8.494279459E0,-3.585139513E-1,1.833038330E-1,7.242365181E-2
8.524272157E0,-3.813572228E-1,1.958169937E-1,-4.318097234E-2
8.554264822E0,-2.607986331E-1,1.191492081E-1,-1.387180686E-1
8.584257487E0,-5.165937543E-2,-5.768299103E-2,-8.375629038E-2
8.614250185E0,1.078181267E-1,-1.587238312E-1,-4.225129634E-2
8.644242850E0,1.466529667E-1,-2.010622025E-1,3.699548915E-2
8.674235515E0,3.504297137E-2,-1.389856339E-1,6.004333124E-2
8.704228213E0,-8.532820642E-2,-5.829906464E-2,1.076404378E-2
8.734220845E0,-1.848798245E-1,-1.575469971E-3,-8.264788985E-2
8.764213477E0,-1.722857207E-1,-2.077865601E-2,-1.931552589E-1
8.794206176E0,-4.650528729E-2,-1.275987625E-1,-2.339487523E-1
8.824198841E0,1.543792784E-1,-2.316684723E-1,-1.541824937E-1
8.854191539E0,3.026557863E-1,-3.026409149E-1,-8.537994325E-2
8.884184238E0,3.231210709E-1,-2.903852463E-1,-1.347870380E-2
8.914176937E0,2.496585846E-1,-2.353382111E-1,1.441555470E-2
8.944169635E0,1.159214377E-1,-8.974552155E-2,-8.014284074E-2
8.974162300E0,-4.847124219E-4,2.918243408E-2,-2.243014425E-1
9.004154965E0,3.959476948E-3,4.548645020E-2,-2.767753601E-1
9.034147697E0,8.262078464E-2,-6.735801697E-3,-2.392534316E-1
9.064140362E0,2.425317168E-1,-9.690284729E-2,-1.125322953E-1
9.094132994E0,3.433702290E-1,-1.203651428E-1,1.486425102E-2
9.124125692E0,3.671346307E-1,-1.105804443E-1,8.446078002E-2
9.154118324E0,2.337230593E-1,-4.107475281E-2,6.572905183E-2
9.184110989E0,9.593297541E-2,3.998947144E-2,-2.072078735E-2
9.214103654E0,-3.008095175E-2,7.755374908E-2,-1.227280423E-1
9.244096286E0,-4.326286912E-2,7.949638367E-2,-1.185017377E-1
9.274088984E0,2.382490039E-2,-2.324867249E-2,-6.623078883E-2
9.304081682E0,1.072161496E-1,-1.234188080E-1,9.867262840E-2
9.334074281E0,1.840283424E-1,-1.760997772E-1,2.266033590E-1
9.364066979E0,1.472253501E-1,-1.909303665E-1,2.534073591E-1
9.394059677E0,3.414294124E-2,-1.654701233E-1,1.677545756E-1
9.424052309E0,-7.862447202E-2,-1.095561981E-1,6.674012542E-2
